France	1.9199104960000005E7
Gabon	1.7988031400000002E7
Georgia	2.167088344999999E7
Germany	2.5249874360000003E7
Ghana	2.1031887889999997E7
Greece	2.5308983420000006E7
Greenland	2.158800148E7
Grenada	3.03027699E7
Guatemala	2.2478915509999998E7
Guinea	2.1702071209999993E7
Guinea-Bissau	2.304967502E7
Haiti	2.0239742029999994E7
Honduras	2.3919286869999997E7
Hungary	1.5943684099999998E7
Iceland	2.655463184999999E7
India	2.4289892460000005E7
Indonesia	1.6010222290000001E7
Iran	2.4141593920000006E7
Iraq	1.9631817380000006E7
Ireland	2.7807805049999993E7
Israel	2.1072528909999996E7
Italy	1.4199991250000002E7
Jamaica	1.961034596E7
Japan	1.857489488E7
Jordan	2.1165744029999997E7
Kazakhstan	2.326560275E7
Kenya	2.080594422E7
Kiribati	3.2454798259999998E7
Kosovo	2.059541025E7
Kuwait	2.4806422689999998E7
Kyrgyzstan	2.2736962389999997E7
Laos	1.877503848E7
Latvia	1.787850586E7
Lebanon	2.0381122179999996E7
Lesotho	1.682146594E7
Liberia	1.540633943E7
Libya	1.8622683360000007E7
Liechtenstein	2.330137783E7
Lithuania	2.806337402E7
Luxembourg	2.121978811E7
Macedonia	2.009223237000001E7
Madagascar	2.1260893290000003E7
Malawi	2.9329125049999997E7
Malaysia	1.6015753199999997E7
Maldives	2.202727419E7
Mali	1.38003349E7
Malta	1.416374455E7
Marshall Islands	1.743810933E7
Mauritania	1.7659556279999997E7
Mauritius 	1.9702913749999996E7
Mexico	2.4491787400000002E7
Moldova 	2.570089677E7
Monaco	1.7391076439999998E7
Mongolia	2.510783895E7
Montenegro	2.2082815770000007E7
Morocco	2.682764811999999E7
Mozambique	2.090272901000001E7
Myanmar	1.8948513110000003E7
Namibia	1.6774838750000004E7
Nauru	1.864687184E7
Nepal	1.6677397509999998E7
Netherlands	2.3340250870000005E7
New Zealand	2.589547704000001E7
Nicaragua	1.78433643E7
Niger	2.230618525E7
Nigeria	2.413935198E7
North Korea	2.2062373049999993E7
Norway	1.8836470189999998E7
Oman	1.8611356620000005E7
Pakistan	1.9728342380000003E7
Palau	2.389480995E7
Panama	2.2253481510000005E7
Papua New Guinea	2.208310835E7
Philippines	2.4616126669999994E7
Poland	2.2846126090000007E7
Portugal	2.5449810790000003E7
Qatar	3.0861356790000003E7
Republic of the Congo	1.6694580900000004E7
Romania	2.1184881839999996E7
Russia	2.486036623000001E7
Rwanda	2.77261115E7
Saint Kitts and Nevis 	2.3055279040000007E7
Saint Lucia	1.6973452630000003E7
Saint Vincent and the Grenadines	1.837532124E7
Samoa 	1.949962809E7
San Marino	1.836919023E7
Sao Tome and Principe	1.481045122E7
Saudi Arabia	2.1007766990000002E7
Senegal	2.4776094020000007E7
Serbia	2.3310104509999998E7
Seychelles 	2.3695801120000005E7
Sierra Leone	1.9665083039999995E7
Singapore	1.470932591E7
Slovakia	2.032249005E7
Slovenia	2.2158888659999996E7
Solomon Islands	1.7814961650000002E7
Somalia	2.32855461E7
South Africa	1.851102657E7
South Korea	2.3893933750000007E7
South Sudan	2.1193783379999995E7
Spain	2.040601535E7
Sri Lanka	2.2393764239999995E7
Sudan	2.294556853000001E7
Swaziland	2.5107661700000007E7
Sweden	1.8874303509999998E7
Switzerland	2.2497403849999994E7
Syria	1.4536103719999995E7
Taiwan	3.004477998000001E7
Tajikistan	1.366202726E7
Tanzania	2.1152258930000003E7
Thailand	2.0707529619999986E7
The Bahamas	1.7012150990000002E7
The Gambia	1.8318875150000006E7
Togo	2.0026536180000007E7
Tonga	1.722981376E7
Trinidad and Tobago	1.850642857E7
Tunisia 	2.6189597159999996E7
Turkey	1.5019621170000004E7
Turkmenistan	2.299518216E7
Tuvalu	2.3279592000000004E7
Uganda	2.594065531E7
Ukraine	2.105781996E7
United Arab Emirates	2.4667842060000014E7
United Kingdom	2.5528037969999988E7
United States of America	2.653477144E7
Uzbekistan	2.4896258160000004E7
Vanuatu	1.995613287E7
Vatican City	1.6978429040000003E7
Vietnam	2.341537702E7
Yemen	1.6666875070000004E7
Zambia	2.3637453000000004E7
Zimbabwe	2.117463176E7

● Obtenir le profit total obtenu par type d’item.

hadoop jar sales.jar org.hadoop.sales.SalesDriver TotalProfit ItemType /data_input/sales_world_10k.csv /results_profit_item_type

Baby Food	4.023249951599999E8
Beverages	6.1237427760000005E7
Cereal	3.7237867446000046E8
Clothes	3.1963658400000024E8
Cosmetics	7.134390323000005E8
Fruits	9774769.610000012
Household	7.187383611899993E8
Meat	2.279643080000002E8
Office Supplies	5.2018320375E8
Personal Care	1.1033484461999993E8
Snacks	2.2733014433999994E8
Vegetables	2.675511267399996E8

● La quantité de ventes en ligne item 

hadoop jar sales.jar org.hadoop.sales.SalesDriver UnitsSold ItemType -on /data_input/sales_world_10k.csv /results_units_sold_item_type_1
